mmr,result,server,timestamp,top_1,jung_1,mid_1,adc_1,supp_1,top_2,jung_2,mid_2,adc_2,supp_2
Challenger,Defeat,lan,2019-06-13,Karma,Master Yi,Zilean,Kai'Sa,Lulu,Camille,Graves,Syndra,Lucian,Nami
Challenger,Defeat,lan,2019-06-13,Irelia,Rengar,Yasuo,Jhin,Yuumi,Singed,Kindred,Taliyah,Sivir,Lux
Challenger,Defeat,lan,2019-06-13,Tahm Kench,Nunu & Willump,Ryze,Caitlyn,Karma,Neeko,Kayn,Vladimir,Ezreal,Soraka
Challenger,Victory,jp,2019-06-19,Shen,Elise,Zed,Sivir,Trundle,Jax,Hecarim,Fizz,Jinx,Karma
Challenger,Victory,jp,2019-06-19,Cho'Gath,Rek'Sai,Mordekaiser,Caitlyn,Yuumi,Renekton,Warwick,Akali,Kai'Sa,Pyke
Challenger,Victory,jp,2019-06-19,Vladimir,Udyr,Malzahar,Varus,Karma,Aatrox,Kayn,Yasuo,Jhin,Lux
Challenger,Defeat,jp,2019-06-19,Mordekaiser,Sejuani,Vladimir,Ezreal,Karma,Camille,Shyvana,Rumble,Draven,Nautilus
Challenger,Victory,jp,2019-06-18,Malphite,Zac,Kassadin,Ezreal,Rakan,Irelia,Graves,Yasuo,Sivir,Yuumi
Challenger,Victory,jp,2019-06-18,Fizz,Master Yi,Singed,Kai'Sa,Braum,Volibear,Graves,Kassadin,Draven,Thresh
Challenger,Defeat,jp,2019-06-18,Renekton,Rek'Sai,LeBlanc,Caitlyn,Morgana,Irelia,Taliyah,Lissandra,Draven,Thresh
Challenger,Defeat,jp,2019-06-18,Karma,Hecarim,Kayn,Sivir,Sona,Gangplank,Vi,Ahri,Draven,Thresh
Challenger,Victory,jp,2019-06-18,Tryndamere,Kayn,Zed,Caitlyn,Soraka,Maokai,Karthus,Yasuo,Ezreal,Lux
Challenger,Defeat,las,2019-06-19,Urgot,Amumu,Ahri,Sivir,Thresh,Neeko,Gragas,Ryze,Yasuo,Nautilus
Challenger,Defeat,las,2019-06-15,Poppy,Kindred,LeBlanc,Jhin,Pyke,Urgot,Elise,Twisted Fate,Miss Fortune,Fiddlesticks
Challenger,Defeat,las,2019-06-14,Yasuo,Lee Sin,Ahri,Caitlyn,Morgana,Camille,Sejuani,Lux,Xayah,Yuumi
Challenger,Defeat,las,2019-06-11,Rumble,Nunu & Willump,Talon,Tristana,Nautilus,Sylas,Lee Sin,Irelia,Caitlyn,Fiddlesticks
Challenger,Defeat,las,2019-06-07,Aatrox,Lee Sin,Sylas,Jinx,Sona,Irelia,Sejuani,Yasuo,Kai'Sa,Nautilus
Challenger,Defeat,las,2019-06-07,Jayce,Kha'Zix,Sylas,Caitlyn,Galio,Pyke,Hecarim,Talon,Sivir,Janna
Challenger,Defeat,las,2019-06-05,Gnar,Lee Sin,Ahri,Sivir,Bard,Irelia,Rek'Sai,Pantheon,Kai'Sa,Thresh
Challenger,Defeat,eune,2019-06-19,Cho'Gath,Shaco,Katarina,Tristana,Lulu,Swain,Hecarim,Pyke,Lucian,Alistar
Challenger,Defeat,eune,2019-06-19,Irelia,Gragas,Zed,Tristana,Lulu,Shen,Rammus,Taliyah,Xayah,Rakan
Challenger,Defeat,jp,2019-06-17,Riven,Lee Sin,Ahri,Caitlyn,Sona,Tryndamere,Sejuani,Malzahar,Rumble,Pyke
Challenger,Defeat,jp,2019-06-19,Camille,Xin Zhao,Rumble,Cassiopeia,Pyke,Darius,Kindred,Zoe,Kai'Sa,Thresh
Challenger,Defeat,jp,2019-06-18,Riven,Sejuani,Katarina,Vayne,Rakan,Poppy,Xin Zhao,Ahri,Kai'Sa,Yuumi
Challenger,Defeat,jp,2019-06-14,Aatrox,Hecarim,Katarina,Lucian,Nautilus,Camille,Gragas,Rumble,Ashe,Neeko
Challenger,Victory,eune,2019-06-19,Camille,Gragas,Taliyah,Yasuo,Leona,Gangplank,Kha'Zix,Ekko,Kai'Sa,Pyke
Challenger,Defeat,jp,2019-06-16,Garen,Evelynn,Kassadin,Jhin,Lux,Renekton,Graves,Malzahar,Sivir,Ashe
Challenger,Defeat,jp,2019-06-18,Malphite,Xin Zhao,Ahri,Twitch,Thresh,Aatrox,Zac,Orianna,Ezreal,Yuumi
Challenger,Defeat,jp,2019-06-18,Camille,Rek'Sai,Vladimir,Xayah,Soraka,Shen,Nidalee,Ahri,Vayne,Blitzcrank
Challenger,Defeat,jp,2019-06-14,Kennen,Nidalee,Taliyah,Caitlyn,Soraka,Urgot,Vi,Heimerdinger,Jhin,Karma
Challenger,Defeat,eune,2019-06-18,Urgot,Gragas,Twisted Fate,Kai'Sa,Karma,Nasus,Rek'Sai,Katarina,Swain,Nautilus
Grandmaster,Defeat,ru,2019-06-19,Riven,Warwick,Kassadin,Jinx,Yuumi,Garen,Shaco,Talon,Kai'Sa,Lulu
Challenger,Defeat,jp,2019-06-16,Shen,Sejuani,Ekko,Xayah,Rakan,Tryndamere,Lee Sin,LeBlanc,Ezreal,Karthus
Challenger,Victory,br,2019-06-17,Orianna,Jarvan IV,Yasuo,Kai'Sa,Alistar,Irelia,Sejuani,Darius,Sivir,Xerath
Challenger,Victory,br,2019-06-17,Kled,Rek'Sai,Mordekaiser,Kai'Sa,Leona,Jax,Rengar,Kassadin,Sivir,Yuumi
Challenger,Defeat,euw,2019-06-09,Tahm Kench,Kha'Zix,Talon,Sivir,Xerath,Camille,Elise,Pyke,Xayah,Rakan
Challenger,Defeat,jp,2019-06-18,Tahm Kench,Kayn,Ahri,Kai'Sa,Soraka,Kled,Udyr,Karthus,Sivir,Alistar
Challenger,Victory,jp,2019-06-14,Aatrox,Taliyah,Gangplank,Draven,Nautilus,Karma,Pantheon,Vladimir,Kai'Sa,Morgana
Challenger,Defeat,eune,2019-06-18,Irelia,Kindred,Swain,Zoe,Blitzcrank,Jax,Rengar,Kassadin,Sivir,Thresh
Grandmaster,Defeat,ru,2019-06-19,Tahm Kench,Jarvan IV,Malzahar,Caitlyn,Annie,Warwick,Fiddlesticks,Nocturne,Draven,Nami
Challenger,Defeat,jp,2019-06-16,Akali,Kayn,Mordekaiser,Draven,Galio,Volibear,Elise,Orianna,Sivir,Braum
Challenger,Defeat,br,2019-06-17,Illaoi,Lee Sin,Aurelion Sol,Ezreal,Fiddlesticks,Kayle,Twitch,Camille,Caitlyn,Karma
Challenger,Defeat,br,2019-06-17,Neeko,Jarvan IV,Ryze,Sivir,Yuumi,Irelia,Rek'Sai,Zoe,Draven,Vel'Koz
Challenger,Defeat,euw,2019-06-09,Riven,Rengar,Katarina,Xayah,Zyra,Jax,Kha'Zix,Karthus,Irelia,Janna
Challenger,Victory,jp,2019-06-18,Fiora,Poppy,Karma,Kai'Sa,Orianna,Aatrox,Graves,Lissandra,Miss Fortune,Thresh
Challenger,Defeat,jp,2019-06-18,Gangplank,Karthus,Zed,Xayah,Rakan,Riven,Hecarim,Irelia,Draven,Zyra
Challenger,Victory,jp,2019-06-14,Akali,Taliyah,Aatrox,Sivir,Volibear,Lee Sin,Ezreal,Neeko,Vayne,Pyke
Challenger,Victory,eune,2019-06-18,Yasuo,Zac,Sylas,Draven,Karma,Darius,Hecarim,Ahri,Swain,Miss Fortune
Grandmaster,Defeat,ru,2019-06-19,Fiora,Xin Zhao,Malzahar,Ezreal,Zyra,Vladimir,Warwick,Ekko,Jhin,Lux
Challenger,Defeat,jp,2019-06-16,Riven,Nidalee,Yasuo,Draven,Yuumi,Volibear,Master Yi,Zed,Ezreal,Rakan
Challenger,Victory,br,2019-06-16,Tahm Kench,Lee Sin,Vladimir,Xayah,Lux,Olaf,Sejuani,Camille,Vayne,Lulu
Challenger,Victory,br,2019-06-17,Aatrox,Rek'Sai,Karthus,Xayah,Lulu,Poppy,Kha'Zix,Zed,Taric,Sona
Challenger,Defeat,euw,2019-06-09,Illaoi,Camille,LeBlanc,Ezreal,Yuumi,Aatrox,Ivern,Yasuo,Sivir,Lux
Challenger,Defeat,jp,2019-06-17,Kayle,Gragas,Renekton,Kai'Sa,Alistar,Olaf,Vi,Vladimir,Sivir,Nami
Challenger,Defeat,jp,2019-06-13,Fiora,Mordekaiser,Vel'Koz,Vayne,Zyra,Aatrox,Taliyah,Vladimir,Kai'Sa,Alistar
Challenger,Defeat,eune,2019-06-18,Riven,Rengar,Mordekaiser,Ezreal,Anivia,Jax,Sejuani,Pyke,Kai'Sa,Thresh
Grandmaster,Defeat,ru,2019-06-19,Poppy,Jarvan IV,Twisted Fate,Caitlyn,Sona,Renekton,Warwick,Orianna,Lucian,Nami
Challenger,Defeat,jp,2019-06-16,Riven,Jarvan IV,Ryze,Cho'Gath,Karma,Tryndamere,Sejuani,Aatrox,Ezreal,Lux
Challenger,Victory,br,2019-06-16,Karma,Aatrox,Katarina,Lucian,Nautilus,Shen,Evelynn,Morgana,Sivir,Lux
Challenger,Defeat,br,2019-06-17,Jax,Vi,Vladimir,Kai'Sa,Thresh,Mordekaiser,Aatrox,Pyke,Ezreal,Soraka
Challenger,Defeat,euw,2019-06-09,Jax,Kindred,Syndra,Yasuo,Gragas,Camille,Sejuani,Irelia,Sivir,Yuumi
Challenger,Defeat,jp,2019-06-17,Darius,Sejuani,Viktor,Xayah,Nautilus,Fiora,Kha'Zix,Malzahar,Vayne,Thresh
Challenger,Defeat,jp,2019-06-13,Tryndamere,Karthus,Tahm Kench,Kai'Sa,Karma,Pyke,Olaf,Akali,Ezreal,Morgana
Challenger,Victory,eune,2019-06-18,Volibear,Graves,Ahri,Ezreal,Rakan,Riven,Kayn,Ryze,Jhin,Brand
Grandmaster,Defeat,ru,2019-06-18,Cho'Gath,Kha'Zix,Akali,Caitlyn,Pyke,Sylas,Warwick,LeBlanc,Draven,Nautilus
Challenger,Defeat,br,2019-06-16,Gangplank,Rek'Sai,Lux,Sivir,Yuumi,Darius,Olaf,Zilean,Draven,Alistar
Challenger,Victory,br,2019-06-17,Riven,Rek'Sai,Irelia,Kai'Sa,Thresh,Gangplank,Kha'Zix,Zed,Xayah,Rakan
Challenger,Defeat,euw,2019-06-09,Fiora,Elise,Katarina,Sivir,Vel'Koz,Ryze,Sejuani,Camille,Vayne,Brand
Challenger,Defeat,jp,2019-06-17,Riven,Taliyah,Vladimir,Draven,Nautilus,Poppy,Graves,Twisted Fate,Xayah,Blitzcrank
Challenger,Defeat,jp,2019-06-13,Neeko,Rek'Sai,Sylas,Kai'Sa,Lux,Tahm Kench,Gragas,Akali,Lucian,Taric
Challenger,Defeat,eune,2019-06-18,Garen,Gragas,Kassadin,Vayne,Bard,Akali,Kayn,Zed,Kai'Sa,Brand
Grandmaster,Defeat,ru,2019-06-18,Camille,Sejuani,Akali,Caitlyn,Pyke,Irelia,Warwick,Vladimir,Sona,Taric
Challenger,Victory,br,2019-06-16,Sylas,Kayn,Ahri,Caitlyn,Karma,Renekton,Sejuani,Darius,Sivir,Yuumi
Challenger,Defeat,br,2019-06-17,Pyke,Lee Sin,Ryze,Varus,Miss Fortune,Riven,Sejuani,Talon,Sivir,Soraka
Challenger,Defeat,euw,2019-06-08,Nidalee,Kindred,Neeko,Sivir,Zilean,Illaoi,Nunu & Willump,Sylas,Yasuo,Lux
Challenger,Defeat,jp,2019-06-17,Irelia,Vi,Neeko,Vayne,Olaf,Riven,Graves,Vel'Koz,Sivir,Lux
Challenger,Victory,jp,2019-06-13,Twisted Fate,Gragas,Tahm Kench,Kai'Sa,Alistar,Camille,Nidalee,Talon,Sivir,Yuumi
Grandmaster,Defeat,ru,2019-06-18,Mordekaiser,Xin Zhao,Anivia,Sivir,Yuumi,Darius,Warwick,Corki,Xayah,Karma
Challenger,Defeat,br,2019-06-16,Gangplank,Jarvan IV,Cassiopeia,Xayah,Leona,Camille,Lee Sin,Taliyah,Lucian,Galio
Challenger,Defeat,br,2019-06-17,Garen,Gragas,Ahri,Ezreal,Yuumi,Aatrox,Sejuani,Zed,Ryze,Thresh
Challenger,Defeat,euw,2019-06-08,Neeko,Lee Sin,Sylas,Draven,Thresh,Jayce,Brand,Camille,Vayne,Soraka
Challenger,Defeat,jp,2019-06-17,Cho'Gath,Rammus,Sylas,Vayne,Lux,Kled,Elise,Lissandra,Ezreal,Pyke
Challenger,Defeat,jp,2019-06-13,Kled,Karthus,Tahm Kench,Xayah,Bard,Pantheon,Elise,Irelia,Ezreal,Alistar
Grandmaster,Defeat,ru,2019-06-18,Vladimir,Hecarim,Azir,Sivir,Yuumi,Poppy,Warwick,Aurelion Sol,Caitlyn,Janna
Challenger,Defeat,br,2019-06-16,Vladimir,Karthus,Ryze,Xayah,Janna,Gangplank,Olaf,Zed,Draven,Nautilus
Challenger,Defeat,br,2019-06-17,Kled,Sejuani,Lucian,Kai'Sa,Alistar,Katarina,Rek'Sai,Talon,Xayah,Yuumi
Challenger,Defeat,euw,2019-06-07,Pantheon,Amumu,Corki,Sivir,Yuumi,Riven,Sejuani,Camille,Ryze,Zac
Challenger,Defeat,jp,2019-06-16,Neeko,Vi,Malzahar,Caitlyn,Yuumi,Gnar,Nidalee,Zed,Kai'Sa,Lux
Challenger,Defeat,eune,2019-06-17,Kled,Sejuani,Swain,Sivir,Pyke,Singed,Lee Sin,Vel'Koz,Kai'Sa,Thresh
Challenger,Defeat,jp,2019-06-09,Darius,Evelynn,Sylas,Ezreal,Lux,Poppy,Rek'Sai,Ekko,Heimerdinger,Blitzcrank
Grandmaster,Defeat,ru,2019-06-18,Nasus,Warwick,Ziggs,Caitlyn,Nami,Tahm Kench,Graves,Azir,Sivir,Karma
Challenger,Defeat,br,2019-06-15,Viktor,Graves,Morgana,Kai'Sa,Nautilus,Pyke,Rek'Sai,Syndra,Caitlyn,Lux
Challenger,Victory,br,2019-06-17,Mordekaiser,Sejuani,Jayce,Xayah,Rakan,Jax,Kayn,Pyke,Lucian,Nautilus
Challenger,Defeat,euw,2019-06-07,Cho'Gath,Amumu,Heimerdinger,Draven,Lulu,Fiora,Sejuani,Camille,Sivir,Soraka
Challenger,Defeat,eune,2019-06-19,Riven,Kayn,Irelia,Xayah,Fiddlesticks,Wukong,Karthus,Vel'Koz,Kai'Sa,Thresh
Challenger,Defeat,eune,2019-06-17,Fiora,Karthus,Xerath,Kai'Sa,Nautilus,Akali,Taliyah,Talon,Ezreal,Alistar
Grandmaster,Defeat,ru,2019-06-18,Tahm Kench,Warwick,Lux,Xayah,Ahri,Sion,Kha'Zix,Kassadin,Kai'Sa,Soraka
Challenger,Defeat,br,2019-06-15,Gangplank,Elise,Garen,Vayne,Braum,Irelia,Amumu,Talon,Caitlyn,Karma
Challenger,Defeat,euw,2019-06-07,Camille,Shaco,Ryze,Xayah,Alistar,Fiora,Sejuani,Cassiopeia,Yasuo,Pyke
Challenger,Defeat,eune,2019-06-19,Riven,Rek'Sai,Akali,Ashe,Morgana,Camille,Rammus,Zilean,Ezreal,Yuumi
Challenger,Defeat,eune,2019-06-19,Riven,Shaco,Vladimir,Kai'Sa,Lux,Diana,Rammus,Malphite,Xayah,Rakan
Challenger,Defeat,eune,2019-06-15,Renekton,Elise,Anivia,Ezreal,Nami,Malphite,Hecarim,Vladimir,Lucian,Yuumi
Challenger,Defeat,eune,2019-06-17,Vladimir,Kayn,Kassadin,Xayah,Thresh,Garen,Udyr,Katarina,Sivir,Tahm Kench
Challenger,Defeat,eune,2019-06-14,Ryze,Rengar,Zoe,Sivir,Yuumi,Jax,Shaco,Ahri,Draven,Mordekaiser
Challenger,Defeat,eune,2019-06-19,Ornn,Gragas,Zed,Xayah,Rakan,Riven,Kayn,Neeko,Vayne,Karma
Challenger,Defeat,eune,2019-06-11,Kassadin,Hecarim,Riven,Vayne,Yuumi,Sylas,Rammus,Warwick,Jinx,Nami
Challenger,Defeat,eune,2019-06-18,Vladimir,Kindred,Aatrox,Syndra,Morgana,Gangplank,Hecarim,Ahri,Kai'Sa,Sona
Challenger,Defeat,eune,2019-06-19,Riven,Kayn,Heimerdinger,Kai'Sa,Bard,Aatrox,Vi,Yasuo,Draven,Lux
Challenger,Defeat,eune,2019-06-10,Pyke,Gragas,Zoe,Sivir,Janna,Neeko,Kayn,Irelia,Kai'Sa,Zilean
Challenger,Defeat,eune,2019-06-18,Renekton,Hecarim,Lux,Sivir,Nami,Ryze,Jarvan IV,Neeko,Kai'Sa,Karma
Challenger,Defeat,eune,2019-06-19,Riven,Kha'Zix,Xerath,Kai'Sa,Thresh,Gangplank,Lee Sin,Corki,Draven,Braum
Challenger,Defeat,eune,2019-06-10,Fiora,Rek'Sai,Karthus,Sivir,Galio,Riven,Evelynn,Talon,Kai'Sa,Zilean
Challenger,Defeat,eune,2019-06-18,Riven,Hecarim,Karma,Tristana,Alistar,Warwick,Kindred,Yasuo,Xayah,Yuumi
Challenger,Defeat,eune,2019-06-19,Urgot,Kai'Sa,Vladimir,Lucian,Braum,Riven,Kayn,Ryze,Caitlyn,Morgana
Challenger,Defeat,eune,2019-06-10,Singed,Hecarim,Malzahar,Lucian,Leona,Darius,Kayn,Xerath,Kai'Sa,Lux
Challenger,Defeat,eune,2019-06-17,Irelia,Graves,Heimerdinger,Tristana,Sona,Volibear,Zac,Azir,Kai'Sa,Pyke
Challenger,Defeat,eune,2019-06-18,Riven,Nidalee,Fizz,Caitlyn,Lux,Renekton,Hecarim,Ryze,Draven,Brand
Challenger,Defeat,eune,2019-06-08,Aatrox,Vi,Cassiopeia,Ezreal,Yuumi,Riven,Lee Sin,Orianna,Caitlyn,Sona
Challenger,Defeat,eune,2019-06-17,Riven,Kayn,Mordekaiser,Ezreal,Pyke,Sion,Elise,Morgana,Kai'Sa,Rakan
Challenger,Defeat,eune,2019-06-18,Ryze,Vi,Zyra,Xayah,Janna,Vladimir,Nidalee,Irelia,Jinx,Karma
Challenger,Defeat,eune,2019-06-08,Poppy,Rammus,Anivia,Caitlyn,Pyke,Vladimir,Elise,Vayne,Ezreal,Zilean
Challenger,Defeat,eune,2019-06-17,Camille,Nidalee,Irelia,Sivir,Pyke,Fiora,Nunu & Willump,Zed,Jhin,Thresh
Challenger,Defeat,eune,2019-06-08,Irelia,Gragas,Azir,Sivir,Morgana,Renekton,Rammus,Lux,Draven,Galio
Challenger,Defeat,eune,2019-06-17,Akali,Lee Sin,Orianna,Ezreal,Vel'Koz,Riven,Karthus,Cassiopeia,Kai'Sa,Lux
Challenger,Defeat,eune,2019-06-07,Ryze,Shaco,Pyke,Sivir,Thresh,Vladimir,Taliyah,Irelia,Ezreal,Yuumi
Challenger,Defeat,eune,2019-06-17,Mordekaiser,Xin Zhao,Irelia,Kai'Sa,Nautilus,Riven,Hecarim,Ahri,Ezreal,Taric
Challenger,Defeat,eune,2019-06-17,Mordekaiser,Taliyah,Yasuo,Vayne,Sona,Vladimir,Rek'Sai,Karma,Kai'Sa,Nautilus
Challenger,Defeat,eune,2019-06-17,Riven,Poppy,Corki,Vayne,Karma,Camille,Lee Sin,LeBlanc,Xayah,Janna
Challenger,Defeat,eune,2019-06-18,Swain,Kha'Zix,Zed,Corki,Karma,Gangplank,Hecarim,Sylas,Varus,Sona
Challenger,Defeat,eune,2019-06-17,Renekton,Rek'Sai,Mordekaiser,Jhin,Pyke,Sylas,Kayn,Talon,Ezreal,Thresh
Challenger,Defeat,eune,2019-06-17,Vayne,Xin Zhao,Irelia,Lucian,Karma,Yasuo,Lee Sin,Zoe,Jhin,Sona
Challenger,Defeat,eune,2019-06-17,Aatrox,Mordekaiser,Vladimir,Xayah,Karma,Pyke,Karthus,Ryze,Lucian,Rakan
Challenger,Defeat,eune,2019-06-17,Ornn,Sylas,Malzahar,Lucian,Nautilus,Viktor,Kha'Zix,Yasuo,Kai'Sa,Yuumi
Challenger,Defeat,eune,2019-06-17,Renekton,Kayn,Xerath,Lucian,Sona,Riven,Sylas,Aatrox,Vayne,Thresh
Challenger,Defeat,eune,2019-06-17,Fiora,Elise,Ekko,Kai'Sa,Karma,Jax,Kayn,Talon,Vayne,Sona
Challenger,Defeat,eune,2019-06-16,Pyke,Kayn,Zoe,Vayne,Nautilus,Malphite,Udyr,Vladimir,Xayah,Leona
Challenger,Defeat,eune,2019-06-16,Akali,Nidalee,Pyke,Lucian,Yuumi,Gnar,Kayn,Xerath,Yasuo,Thresh
Challenger,Defeat,eune,2019-06-17,Sylas,Hecarim,Ryze,Kai'Sa,Thresh,Irelia,Jarvan IV,Xerath,Vayne,Lulu
Challenger,Defeat,eune,2019-06-16,Teemo,Olaf,Xerath,Tristana,Nautilus,Sylas,Vi,Aatrox,Sivir,Brand
Challenger,Defeat,eune,2019-06-17,Poppy,Rek'Sai,Kennen,Sivir,Pyke,Ryze,Taliyah,Zed,Tahm Kench,Sona
Challenger,Defeat,eune,2019-06-16,Ahri,Elise,Talon,Sivir,Zyra,Nautilus,Kayn,Cassiopeia,Ezreal,Karma
Challenger,Defeat,eune,2019-06-17,Tahm Kench,Lee Sin,Zed,Ezreal,Sona,Pyke,Gragas,Riven,Heimerdinger,Janna
Challenger,Defeat,eune,2019-06-14,Teemo,Kayn,Zed,Ezreal,Lux,Poppy,Fiddlesticks,Aatrox,Sivir,Pyke
Challenger,Defeat,eune,2019-06-17,Fiora,Taliyah,Corki,Sivir,Karma,Irelia,Jarvan IV,Vel'Koz,Vayne,Thresh
Challenger,Victory,eune,2019-06-16,Mordekaiser,Trundle,Tristana,Xayah,Lux,Zed,Kha'Zix,Singed,Sivir,Soraka
Challenger,Defeat,eune,2019-06-13,Poppy,Lee Sin,Twisted Fate,Sivir,Xerath,Riven,Nidalee,Vladimir,Ashe,Soraka
Challenger,Defeat,eune,2019-06-17,Karma,Rengar,Cassiopeia,Lucian,Sona,Vladimir,Jarvan IV,Vel'Koz,Sivir,Yuumi
Challenger,Defeat,eune,2019-06-15,Darius,Kindred,Talon,Draven,Morgana,Irelia,Xin Zhao,Ahri,Sivir,Nautilus
Challenger,Defeat,eune,2019-06-13,Riven,Sejuani,Camille,Kai'Sa,Braum,Sylas,Gragas,Shen,Xayah,Pyke
Challenger,Victory,eune,2019-06-15,Olaf,Poppy,Galio,Yasuo,Yuumi,LeBlanc,Gragas,Kayn,Neeko,Lux
Challenger,Defeat,eune,2019-06-13,Garen,Kha'Zix,Neeko,Draven,Janna,Akali,Aatrox,Cho'Gath,Kai'Sa,Nami
Challenger,Victory,eune,2019-06-15,Jax,Lee Sin,Ryze,Ezreal,Rakan,Fiora,Taliyah,Irelia,Twitch,Nautilus
Challenger,Defeat,eune,2019-06-13,Tryndamere,Graves,Syndra,Caitlyn,Karma,Akali,Vi,Zoe,Kai'Sa,Vel'Koz
Challenger,Victory,eune,2019-06-15,Fiora,Volibear,Yasuo,Ezreal,Lulu,Shen,Master Yi,Ekko,Mordekaiser,Thresh
Challenger,Defeat,eune,2019-06-18,Karma,Kayn,Talon,Tristana,Leona,Corki,Lee Sin,Illaoi,Kai'Sa,Nami
Challenger,Defeat,eune,2019-06-17,Tryndamere,Jarvan IV,Ryze,Swain,Zilean,Cho'Gath,Kayn,Vladimir,Draven,Janna
Challenger,Victory,eune,2019-06-15,Mordekaiser,Lee Sin,Veigar,Xayah,Karma,Cassiopeia,Hecarim,Zed,Sivir,Sona
Challenger,Defeat,eune,2019-06-18,Riven,Kindred,Ahri,Jinx,Thresh,Rumble,Warwick,Lissandra,Draven,Bard
Challenger,Victory,eune,2019-06-15,Jax,Hecarim,Katarina,Ezreal,Lulu,Irelia,Gragas,Anivia,Kai'Sa,Yuumi
Challenger,Defeat,eune,2019-06-18,Darius,Nidalee,Talon,Kai'Sa,Nautilus,Illaoi,Gragas,Yasuo,Vayne,Pyke
Challenger,Victory,eune,2019-06-15,Mordekaiser,Ryze,LeBlanc,Ezreal,Karma,Jax,Rek'Sai,Yasuo,Sivir,Leona
Challenger,Defeat,eune,2019-06-17,Illaoi,Kha'Zix,Kassadin,Sivir,Pyke,Gangplank,Lee Sin,Volibear,Kai'Sa,Yuumi
Challenger,Defeat,eune,2019-06-14,Mordekaiser,Sejuani,Aatrox,Kai'Sa,Thresh,Olaf,Twitch,Azir,Sivir,Lulu
Challenger,Defeat,eune,2019-06-12,Pyke,Jarvan IV,Vladimir,Caitlyn,Brand,Ryze,Lee Sin,Ekko,Jhin,Morgana
